external_id;name;description;price;brand;category;subcategory;gender;photos
_dt2rSScnNSO6R7GZBrMe94347tUnQgpc8lXgODw;;【𝐂𝐃-𝐋𝐚𝐝𝐲𝟏𝟕羊枣红】❣️现货❣️ 𝐂𝐃戴妃非常精致的CD logo以及𝐃𝐢𝐨𝐫的幸运挂件。皮质采用羊皮革精心制作，以藤格纹缉面线打造经典醒目的绗缝纹理，时髦典雅的设计经久不衰，为精美的轮廓增添一分灵动。搭配链条⛓️肩带，可斜挎，可单肩，可手拎，上身效果非常好看 尺寸：𝟏𝟕*𝟏𝟓*𝟕cm;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20251213/i1765612098925_9575_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765612098937_1116_0_10.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765612098930_6870_0_11.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611925101_7548_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611923704_722_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611923704_4954_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611923704_8371_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611925106_8381_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611923704_6568_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611923703_1288_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611925078_5718_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251213/i1765611925013_6793_0_4.jpg""]"
_dc-rSrq6CJHNjJw7uv6dYiSeeSNVz1lE6tug2IA;;【珍珠𝐖𝐨𝐜蜥蜴皮·深乌梅紫】 ❣️现货❣️ 尺寸：21* 11.5*4.5cm;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608772225_3555_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608770325_8464_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608770238_2072_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608772285_3417_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608772270_1232_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608772320_2203_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608770408_7361_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608770355_1294_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777608856300_6879_0_8.jpg""]"
_dBLrSK4mBFQfz7j50sD-jmtRJAP3V1W2lWgbuFw;;【珍珠𝐖𝐨𝐜蜥蜴皮·渐变蓝】 ❣️现货❣️ 尺寸：21* 11.5*4.5cm;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609741003_6822_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609738408_8943_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609741745_4896_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609738272_4500_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609738178_8330_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609738377_8672_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609738258_7251_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609741041_9916_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260501/i1777609740982_3740_0_5.jpg""]"
_dw5rStKEDU3jTaDJLEk_5JLVn8bw3vSdBCo0A_A;;【𝐂𝐃-𝐓𝐨𝐮𝐣𝐨𝐮𝐫𝐬胭脂粉中号𝟐𝟖】❣️现货❣️ Toujours休闲实用的设计别具一格。采用白色牛皮革精心制作，饰以超大藤格纹缉面线，宽敞的内部隔层搭配小袋，可整齐收纳各种日常用品。设有皮革系带开合，可安全收纳各种物品，另有 CDLock字母D旋钮式开合，可调节两侧，提升格调。小巧精致容量又大。 尺寸：28.5x 21.5x17厘米（长x高x宽);0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260429/i1777449434892_3067_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777449507447_474_0_10.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777449570000_2127_0_11.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777447445512_2660_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777449027924_2360_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777447445511_2639_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777448880746_3720_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777448072362_4770_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777446537061_8477_0_3.jpg""]"
_da9rSS6MBgm9f33ktsTePo7FEoWFxj7rSOL83CQ;;【蝴蝶结云朵包·小号柔粉】❣️现货❣️ 谁能拒绝一只软乎乎的粉粉蝴蝶结包啊！ 柔粉色的小羊皮摸起来像云朵一样软，捏起来都忍不住心动。中间的蝴蝶结造型自带甜妹滤镜，背上身就是温柔本身，不管是搭配连衣裙还是牛仔裤都超适配。 容量也很惊喜，日常手机、粉饼、口红都能轻松装下，可盐可甜的设计，从约会到通勤都能hold住，是能陪你很久的治愈单品。 尺寸：26×16×10厘米（长x高x宽）;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442918046_2770_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442918046_8326_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442918046_3515_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442918046_5623_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442918046_8747_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442919540_4277_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442919527_1595_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777442919547_2468_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260429/i1777443341497_214_0_8.jpg""]"
_dborSLFzv0tImDSrTgAp6Bm4Qsn65JUDjHrxdLg;;【𝐋𝐚𝐝𝐲𝟏𝟕蜥蜴皮·灰蓝渐变】 ❣️❣️现货 尺寸：𝟏𝟕*𝟏𝟓*𝟕𝐜𝐦;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193629741_5065_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193632258_7235_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193632232_2026_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193632310_9014_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193629755_2309_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193632311_738_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193631435_2513_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193630401_9809_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193630958_5775_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777193632937_7400_0_9.jpg""]"
_dlQrSrouyrv85LmkXvGWSWbe22l6uZ16Hpt3ciA;;【𝐋𝐚𝐝𝐲𝟏𝟕鳄鱼皮·人鱼姬蓝】 ❣️❣️现货 尺寸：𝟏𝟕*𝟏𝟓*𝟕𝐜𝐦;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260426/i1777212130426_5927_0_10.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194586902_6830_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194590186_5799_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194586991_9729_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194586945_1305_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194586960_574_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194589326_5254_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194590063_1667_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194586946_6512_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260426/i1777194590149_3496_0_9.jpg""]"
_dlNrS3hByPUsrtmKnSOU1Y4w_vxyteaMU80Fg0A;;【𝐋𝐚𝐝𝐲𝟏𝟕𝐜𝐦鸵鸟皮️·樱花粉】 ❣️❣️现货 尺寸：𝟏𝟕*𝟏𝟓*𝟕𝐜𝐦;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844561242_423_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844561248_8992_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844561213_6045_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844559267_7202_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844561192_763_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844561305_8662_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844559295_9692_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844559243_3859_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844559180_3076_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776844559181_8064_0_9.jpg""]"
_dl5rSAQe0gZ5DYTpnH8k5c1zXP_G-RlBdmhxWNg;;【𝐋𝐚𝐝𝐲𝟏𝟕蜥蜴皮·酒红】 ❣️❣️现货 尺寸：𝟏𝟕*𝟏𝟓*𝟕𝐜𝐦;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841707280_7005_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841700920_3735_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841704820_831_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841700920_2959_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841707207_3420_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841704783_4466_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841700920_5509_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841707338_1738_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841704745_9444_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776841704680_3495_0_9.jpg""]"
_dJUrSinZpyKDhkL7mluQMimKag-Pz3htf43V0WA;;【𝐃-𝐣𝐨𝐲𝟐𝟐鸵鸟皮·枣红】 ❣️❣️现货 尺寸：𝟐𝟐*𝟏𝟐*𝟔𝐜𝐦;0;ivacgwvpdne0t35;l1v0jdhlhflwj7x;;;"[""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839057501_24_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839057552_5675_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839055791_564_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839055791_9103_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839057529_842_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839269053_3942_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839055798_3437_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839055791_436_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839057469_7030_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20260422/i1776839055791_1844_0_8.jpg""]"
